64
2
8
10
32,W,32
28,W,28
24,W,24
20,W,20
16,W,16
12,W,12
8,W,8
4,W,4
0,W,0
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R
0,R
4,R
8,R
12,R
16,R
20,R
24,R
28,R
32,R

